Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2021-08-13,20:30,Gladbach,Bayern Munich,2.3,2.5,1–1,2021-2022,0
1.0,Sat,2021-08-14,15:30,Wolfsburg,Bochum,2.0,0.4,1–0,2021-2022,1
1.0,Sat,2021-08-14,15:30,Arminia,Freiburg,0.4,1.6,0–0,2021-2022,2
1.0,Sat,2021-08-14,15:30,Augsburg,Hoffenheim,0.6,3.8,0–4,2021-2022,3
1.0,Sat,2021-08-14,15:30,Stuttgart,Greuther Fürth,3.0,1.2,5–1,2021-2022,4
1.0,Sat,2021-08-14,15:30,Union Berlin,Leverkusen,0.5,0.8,1–1,2021-2022,5
1.0,Sat,2021-08-14,18:30,Dortmund,Eint Frankfurt,2.7,1.3,5–2,2021-2022,6
1.0,Sun,2021-08-15,15:30,Mainz 05,RB Leipzig,1.2,1.1,1–0,2021-2022,7
1.0,Sun,2021-08-15,17:30,Köln,Hertha BSC,1.6,1.8,3–1,2021-2022,8
2.0,Fri,2021-08-20,20:30,RB Leipzig,Stuttgart,3.6,1.1,4–0,2021-2022,10
2.0,Sat,2021-08-21,15:30,Freiburg,Dortmund,1.3,1.6,2–1,2021-2022,11
2.0,Sat,2021-08-21,15:30,Bochum,Mainz 05,0.8,0.9,2–0,2021-2022,12
2.0,Sat,2021-08-21,15:30,Greuther Fürth,Arminia,2.5,0.8,1–1,2021-2022,13
2.0,Sat,2021-08-21,15:30,Eint Frankfurt,Augsburg,1.6,0.3,0–0,2021-2022,14
2.0,Sat,2021-08-21,15:30,Hertha BSC,Wolfsburg,1.2,1.0,1–2,2021-2022,15
2.0,Sat,2021-08-21,18:30,Leverkusen,Gladbach,1.9,1.7,4–0,2021-2022,16
2.0,Sun,2021-08-22,15:30,Hoffenheim,Union Berlin,1.0,1.8,2–2,2021-2022,17
2.0,Sun,2021-08-22,17:30,Bayern Munich,Köln,2.6,1.1,3–2,2021-2022,18
3.0,Fri,2021-08-27,20:30,Dortmund,Hoffenheim,3.4,2.2,3–2,2021-2022,20
3.0,Sat,2021-08-28,15:30,Arminia,Eint Frankfurt,0.6,1.5,1–1,2021-2022,21
3.0,Sat,2021-08-28,15:30,Stuttgart,Freiburg,1.8,1.3,2–3,2021-2022,22
3.0,Sat,2021-08-28,15:30,Mainz 05,Greuther Fürth,2.7,0.2,3–0,2021-2022,23
3.0,Sat,2021-08-28,15:30,Köln,Bochum,3.2,0.6,2–1,2021-2022,24
3.0,Sat,2021-08-28,15:30,Augsburg,Leverkusen,1.8,2.0,1–4,2021-2022,25
3.0,Sat,2021-08-28,18:30,Bayern Munich,Hertha BSC,2.8,0.4,5–0,2021-2022,26
3.0,Sun,2021-08-29,15:30,Union Berlin,Gladbach,1.9,1.8,2–1,2021-2022,27
3.0,Sun,2021-08-29,17:30,Wolfsburg,RB Leipzig,0.8,1.1,1–0,2021-2022,28
4.0,Sat,2021-09-11,15:30,Hoffenheim,Mainz 05,0.7,0.9,0–2,2021-2022,30
4.0,Sat,2021-09-11,15:30,Freiburg,Köln,0.8,1.1,1–1,2021-2022,31
4.0,Sat,2021-09-11,15:30,Union Berlin,Augsburg,1.0,1.0,0–0,2021-2022,32
4.0,Sat,2021-09-11,15:30,Greuther Fürth,Wolfsburg,0.3,1.4,0–2,2021-2022,33
4.0,Sat,2021-09-11,15:30,Leverkusen,Dortmund,0.7,1.8,3–4,2021-2022,34
4.0,Sat,2021-09-11,18:30,RB Leipzig,Bayern Munich,0.5,3.9,1–4,2021-2022,35
4.0,Sun,2021-09-12,15:30,Eint Frankfurt,Stuttgart,1.1,0.9,1–1,2021-2022,36
4.0,Sun,2021-09-12,17:30,Bochum,Hertha BSC,1.2,0.3,1–3,2021-2022,37
4.0,Sun,2021-09-12,19:30,Gladbach,Arminia,1.7,1.8,3–1,2021-2022,38
5.0,Fri,2021-09-17,20:30,Hertha BSC,Greuther Fürth,0.7,1.4,2–1,2021-2022,40
5.0,Sat,2021-09-18,15:30,Augsburg,Gladbach,0.3,0.6,1–0,2021-2022,41
