Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2021-08-06,21:00,Monaco,Nantes,1.5,0.2,1–1,2021-2022,0
1.0,Sat,2021-08-07,17:00,Lyon,Brest,1.4,0.8,1–1,2021-2022,1
1.0,Sat,2021-08-07,21:00,Troyes,Paris S-G,0.9,1.2,1–2,2021-2022,2
1.0,Sun,2021-08-08,13:00,Rennes,Lens,0.7,2.1,1–1,2021-2022,3
1.0,Sun,2021-08-08,15:00,Saint-Étienne,Lorient,1.9,0.6,1–1,2021-2022,4
1.0,Sun,2021-08-08,15:00,Nice,Reims,0.8,0.2,0–0,2021-2022,5
1.0,Sun,2021-08-08,15:00,Strasbourg,Angers,0.3,0.9,0–2,2021-2022,6
1.0,Sun,2021-08-08,15:00,Bordeaux,Clermont Foot,0.7,3.1,0–2,2021-2022,7
1.0,Sun,2021-08-08,17:00,Metz,Lille,0.9,1.3,3–3,2021-2022,8
1.0,Sun,2021-08-08,20:45,Montpellier,Marseille,0.6,1.9,2–3,2021-2022,9
2.0,Fri,2021-08-13,21:00,Lorient,Monaco,0.8,1.1,1–0,2021-2022,11
2.0,Sat,2021-08-14,17:00,Lille,Nice,0.8,1.9,0–4,2021-2022,12
2.0,Sat,2021-08-14,21:00,Paris S-G,Strasbourg,3.1,0.7,4–2,2021-2022,13
2.0,Sun,2021-08-15,13:00,Angers,Lyon,1.8,0.9,3–0,2021-2022,14
2.0,Sun,2021-08-15,15:00,Brest,Rennes,1.9,1.0,1–1,2021-2022,15
2.0,Sun,2021-08-15,15:00,Nantes,Metz,1.7,0.6,2–0,2021-2022,16
2.0,Sun,2021-08-15,15:00,Reims,Montpellier,1.8,1.8,3–3,2021-2022,17
2.0,Sun,2021-08-15,15:00,Clermont Foot,Troyes,1.9,0.7,2–0,2021-2022,18
2.0,Sun,2021-08-15,17:00,Lens,Saint-Étienne,1.3,0.9,2–2,2021-2022,19
2.0,Sun,2021-08-15,20:45,Marseille,Bordeaux,1.0,0.3,2–2,2021-2022,20
3.0,Fri,2021-08-20,21:00,Brest,Paris S-G,1.1,0.9,2–4,2021-2022,22
3.0,Sat,2021-08-21,17:00,Monaco,Lens,0.3,0.5,0–2,2021-2022,23
3.0,Sat,2021-08-21,21:00,Saint-Étienne,Lille,0.5,1.0,1–1,2021-2022,24
3.0,Sun,2021-08-22,13:00,Lyon,Clermont Foot,3.3,1.4,3–3,2021-2022,25
3.0,Sun,2021-08-22,15:00,Montpellier,Lorient,3.0,0.6,3–1,2021-2022,26
3.0,Sun,2021-08-22,15:00,Metz,Reims,0.5,0.9,1–1,2021-2022,27
3.0,Sun,2021-08-22,15:00,Bordeaux,Angers,0.5,0.9,1–1,2021-2022,28
3.0,Sun,2021-08-22,15:00,Strasbourg,Troyes,2.2,1.4,1–1,2021-2022,29
3.0,Sun,2021-08-22,17:00,Rennes,Nantes,0.9,0.5,1–0,2021-2022,30
4.0,Fri,2021-08-27,21:00,Nantes,Lyon,1.4,1.2,0–1,2021-2022,32
4.0,Sat,2021-08-28,17:00,Nice,Bordeaux,3.2,1.1,4–0,2021-2022,33
4.0,Sat,2021-08-28,21:00,Marseille,Saint-Étienne,2.1,1.1,3–1,2021-2022,34
4.0,Sun,2021-08-29,13:00,Troyes,Monaco,0.7,1.9,1–2,2021-2022,35
4.0,Sun,2021-08-29,15:00,Strasbourg,Brest,1.4,0.8,3–1,2021-2022,36
4.0,Sun,2021-08-29,15:00,Lens,Lorient,1.3,1.2,2–2,2021-2022,37
4.0,Sun,2021-08-29,15:00,Angers,Rennes,2.2,0.9,2–0,2021-2022,38
4.0,Sun,2021-08-29,15:00,Clermont Foot,Metz,1.6,1.4,2–2,2021-2022,39
4.0,Sun,2021-08-29,17:00,Lille,Montpellier,1.6,0.6,2–1,2021-2022,40
4.0,Sun,2021-08-29,20:45,Reims,Paris S-G,0.7,1.3,0–2,2021-2022,41
5.0,Fri,2021-09-10,21:00,Lorient,Lille,1.8,1.3,2–1,2021-2022,43
5.0,Sat,2021-09-11,17:00,Paris S-G,Clermont Foot,2.5,0.9,4–0,2021-2022,44
5.0,Sat,2021-09-11,21:00,Monaco,Marseille,0.8,1.6,0–2,2021-2022,45
5.0,Sun,2021-09-12,13:00,Montpellier,Saint-Étienne,1.1,0.8,2–0,2021-2022,46
5.0,Sun,2021-09-12,15:00,Bordeaux,Lens,0.8,2.5,2–3,2021-2022,47
5.0,Sun,2021-09-12,15:00,Rennes,Reims,0.6,0.5,0–2,2021-2022,48
5.0,Sun,2021-09-12,15:00,Brest,Angers,1.3,1.2,1–1,2021-2022,49
5.0,Sun,2021-09-12,15:00,Metz,Troyes,0.7,0.6,0–2,2021-2022,50
5.0,Sun,2021-09-12,17:00,Nantes,Nice,1.7,2.1,0–2,2021-2022,51
5.0,Sun,2021-09-12,20:45,Lyon,Strasbourg,1.6,1.6,3–1,2021-2022,52
6.0,Fri,2021-09-17,21:00,Strasbourg,Metz,2.0,0.6,3–0,2021-2022,54
6.0,Sat,2021-09-18,17:00,Lens,Lille,0.6,0.7,1–0,2021-2022,55
6.0,Sat,2021-09-18,21:00,Saint-Étienne,Bordeaux,1.4,2.3,1–2,2021-2022,56
6.0,Sun,2021-09-19,13:00,Nice,Monaco,1.7,2.4,2–2,2021-2022,57
6.0,Sun,2021-09-19,15:00,Clermont Foot,Brest,1.1,0.5,1–1,2021-2022,58
6.0,Sun,2021-09-19,15:00,Troyes,Montpellier,1.1,0.2,1–1,2021-2022,59
6.0,Sun,2021-09-19,15:00,Reims,Lorient,0.8,0.3,0–0,2021-2022,60
6.0,Sun,2021-09-19,15:00,Angers,Nantes,0.9,2.1,1–4,2021-2022,61
6.0,Sun,2021-09-19,17:00,Marseille,Rennes,2.1,1.5,2–0,2021-2022,62
6.0,Sun,2021-09-19,20:45,Paris S-G,Lyon,2.0,0.8,2–1,2021-2022,63
7.0,Wed,2021-09-22,19:00,Montpellier,Bordeaux,1.3,1.2,3–3,2021-2022,65
7.0,Wed,2021-09-22,19:00,Rennes,Clermont Foot,2.4,0.3,6–0,2021-2022,66
7.0,Wed,2021-09-22,19:00,Lille,Reims,0.7,1.3,2–1,2021-2022,67
7.0,Wed,2021-09-22,19:00,Nantes,Brest,1.3,0.8,3–1,2021-2022,68
7.0,Wed,2021-09-22,19:00,Monaco,Saint-Étienne,1.7,0.4,3–1,2021-2022,69
7.0,Wed,2021-09-22,21:00,Lens,Strasbourg,1.5,1.1,0–1,2021-2022,70
7.0,Wed,2021-09-22,21:00,Metz,Paris S-G,0.9,1.3,1–2,2021-2022,71
7.0,Wed,2021-09-22,21:00,Lorient,Nice,0.5,2.2,1–0,2021-2022,72
7.0,Wed,2021-09-22,21:00,Lyon,Troyes,1.8,1.4,3–1,2021-2022,73
7.0,Wed,2021-09-22,21:00,Angers,Marseille,0.4,0.7,0–0,2021-2022,74
8.0,Sat,2021-09-25,17:00,Saint-Étienne,Nice,0.6,2.2,0–3,2021-2022,76
8.0,Sat,2021-09-25,19:00,Strasbourg,Lille,0.4,2.3,1–2,2021-2022,77
8.0,Sat,2021-09-25,21:00,Paris S-G,Montpellier,2.1,0.2,2–0,2021-2022,78
8.0,Sat,2021-09-25,21:00,Lyon,Lorient,1.3,0.7,1–1,2021-2022,79
8.0,Sun,2021-09-26,13:00,Bordeaux,Rennes,0.7,2.0,1–1,2021-2022,80
8.0,Sun,2021-09-26,15:00,Brest,Metz,1.6,0.6,1–2,2021-2022,81
8.0,Sun,2021-09-26,15:00,Troyes,Angers,1.0,1.3,1–1,2021-2022,82
8.0,Sun,2021-09-26,15:00,Reims,Nantes,1.1,0.6,3–1,2021-2022,83
8.0,Sun,2021-09-26,17:00,Clermont Foot,Monaco,1.1,1.6,1–3,2021-2022,84
8.0,Sun,2021-09-26,20:45,Marseille,Lens,2.0,2.0,2–3,2021-2022,85
9.0,Fri,2021-10-01,21:00,Lens,Reims,2.1,0.1,2–0,2021-2022,87
9.0,Sat,2021-10-02,17:00,Montpellier,Strasbourg,1.1,0.3,1–1,2021-2022,88
9.0,Sat,2021-10-02,21:00,Nice,Brest,3.8,0.6,2–1,2021-2022,89
9.0,Sun,2021-10-03,13:00,Rennes,Paris S-G,1.0,1.5,2–0,2021-2022,90
9.0,Sun,2021-10-03,15:00,Nantes,Troyes,1.9,1.3,2–0,2021-2022,91
9.0,Sun,2021-10-03,15:00,Lorient,Clermont Foot,0.5,1.1,1–1,2021-2022,92
9.0,Sun,2021-10-03,15:00,Angers,Metz,2.3,1.1,3–2,2021-2022,93
9.0,Sun,2021-10-03,15:00,Monaco,Bordeaux,1.6,0.3,3–0,2021-2022,94
9.0,Sun,2021-10-03,17:00,Lille,Marseille,3.0,0.4,2–0,2021-2022,95
9.0,Sun,2021-10-03,20:45,Saint-Étienne,Lyon,2.3,1.3,1–1,2021-2022,96
10.0,Fri,2021-10-15,21:00,Paris S-G,Angers,2.0,1.1,2–1,2021-2022,98
10.0,Sat,2021-10-16,17:00,Clermont Foot,Lille,0.3,0.9,1–0,2021-2022,99
10.0,Sat,2021-10-16,21:00,Lyon,Monaco,2.6,0.6,2–0,2021-2022,100
10.0,Sun,2021-10-17,13:00,Troyes,Nice,0.9,0.6,1–0,2021-2022,101
10.0,Sun,2021-10-17,15:00,Brest,Reims,0.5,0.8,1–1,2021-2022,102
10.0,Sun,2021-10-17,15:00,Strasbourg,Saint-Étienne,2.1,1.0,5–1,2021-2022,103
10.0,Sun,2021-10-17,15:00,Bordeaux,Nantes,0.5,1.3,1–1,2021-2022,104
10.0,Sun,2021-10-17,15:00,Metz,Rennes,0.9,2.2,0–3,2021-2022,105
10.0,Sun,2021-10-17,17:00,Montpellier,Lens,1.5,0.9,1–0,2021-2022,106
10.0,Sun,2021-10-17,20:45,Marseille,Lorient,1.8,2.2,4–1,2021-2022,107
11.0,Fri,2021-10-22,21:00,Saint-Étienne,Angers,1.6,0.5,2–2,2021-2022,109
11.0,Sat,2021-10-23,17:00,Nantes,Clermont Foot,1.3,1.1,2–1,2021-2022,110
11.0,Sat,2021-10-23,21:00,Lille,Brest,1.7,1.2,1–1,2021-2022,111
11.0,Sun,2021-10-24,13:00,Nice,Lyon,2.4,1.4,3–2,2021-2022,112
11.0,Sun,2021-10-24,15:00,Reims,Troyes,0.8,0.9,1–2,2021-2022,113
11.0,Sun,2021-10-24,15:00,Lens,Metz,1.8,0.8,4–1,2021-2022,114
11.0,Sun,2021-10-24,15:00,Lorient,Bordeaux,1.2,1.0,1–1,2021-2022,115
11.0,Sun,2021-10-24,15:00,Rennes,Strasbourg,1.2,0.9,1–0,2021-2022,116
11.0,Sun,2021-10-24,17:00,Monaco,Montpellier,1.3,1.3,3–1,2021-2022,117
11.0,Sun,2021-10-24,20:45,Marseille,Paris S-G,1.1,1.4,0–0,2021-2022,118
3.0,Wed,2021-10-27,21:00,Nice,Marseille,1.5,0.5,1–1,2021-2022,120
12.0,Fri,2021-10-29,21:00,Paris S-G,Lille,2.1,1.8,2–1,2021-2022,122
12.0,Sat,2021-10-30,17:00,Metz,Saint-Étienne,0.4,0.4,1–1,2021-2022,123
12.0,Sat,2021-10-30,21:00,Lyon,Lens,1.9,2.1,2–1,2021-2022,124
12.0,Sun,2021-10-31,13:00,Angers,Nice,1.2,0.8,1–2,2021-2022,125
12.0,Sun,2021-10-31,15:00,Montpellier,Nantes,1.2,1.0,2–0,2021-2022,126
12.0,Sun,2021-10-31,15:00,Troyes,Rennes,1.3,1.3,2–2,2021-2022,127
12.0,Sun,2021-10-31,15:00,Bordeaux,Reims,1.8,1.4,3–2,2021-2022,128
12.0,Sun,2021-10-31,15:00,Strasbourg,Lorient,2.3,1.3,4–0,2021-2022,129
12.0,Sun,2021-10-31,17:00,Brest,Monaco,1.3,0.4,2–0,2021-2022,130
12.0,Sun,2021-10-31,20:45,Clermont Foot,Marseille,0.7,1.0,0–1,2021-2022,131
13.0,Fri,2021-11-05,21:00,Lens,Troyes,3.0,0.5,4–0,2021-2022,133
13.0,Sat,2021-11-06,17:00,Lille,Angers,1.4,1.1,1–1,2021-2022,134
13.0,Sat,2021-11-06,21:00,Bordeaux,Paris S-G,1.4,1.5,2–3,2021-2022,135
13.0,Sun,2021-11-07,13:00,Marseille,Metz,1.3,1.2,0–0,2021-2022,136
13.0,Sun,2021-11-07,15:00,Saint-Étienne,Clermont Foot,1.3,1.1,3–2,2021-2022,137
13.0,Sun,2021-11-07,15:00,Lorient,Brest,1.3,2.6,1–2,2021-2022,138
13.0,Sun,2021-11-07,15:00,Reims,Monaco,0.3,1.0,0–0,2021-2022,139
13.0,Sun,2021-11-07,15:00,Nantes,Strasbourg,2.3,2.1,2–2,2021-2022,140
13.0,Sun,2021-11-07,17:00,Nice,Montpellier,1.4,0.4,0–1,2021-2022,141
13.0,Sun,2021-11-07,20:45,Rennes,Lyon,3.3,1.1,4–1,2021-2022,142
14.0,Fri,2021-11-19,21:00,Monaco,Lille,1.1,2.2,2–2,2021-2022,144
14.0,Sat,2021-11-20,17:00,Paris S-G,Nantes,1.8,1.4,3–1,2021-2022,145
14.0,Sat,2021-11-20,21:00,Rennes,Montpellier,2.9,0.7,2–0,2021-2022,146
14.0,Sun,2021-11-21,13:00,Brest,Lens,1.3,1.5,4–0,2021-2022,147
14.0,Sun,2021-11-21,15:00,Angers,Lorient,1.4,0.7,1–0,2021-2022,148
14.0,Sun,2021-11-21,15:00,Strasbourg,Reims,1.7,0.9,1–1,2021-2022,149
14.0,Sun,2021-11-21,15:00,Troyes,Saint-Étienne,1.1,1.1,0–1,2021-2022,150
14.0,Sun,2021-11-21,15:00,Metz,Bordeaux,1.2,2.2,3–3,2021-2022,151
14.0,Sun,2021-11-21,17:00,Clermont Foot,Nice,0.7,0.6,1–2,2021-2022,152
15.0,Fri,2021-11-26,21:00,Lens,Angers,1.3,1.5,2–2,2021-2022,154
15.0,Sat,2021-11-27,17:00,Lille,Nantes,1.2,0.5,1–1,2021-2022,155
15.0,Sat,2021-11-27,21:00,Nice,Metz,1.2,0.4,0–1,2021-2022,156
15.0,Sun,2021-11-28,13:00,Saint-Étienne,Paris S-G,0.8,2.7,1–3,2021-2022,157
15.0,Sun,2021-11-28,15:00,Bordeaux,Brest,1.4,2.4,1–2,2021-2022,158
15.0,Sun,2021-11-28,15:00,Reims,Clermont Foot,0.6,0.5,1–0,2021-2022,159
15.0,Sun,2021-11-28,15:00,Monaco,Strasbourg,2.1,1.0,1–1,2021-2022,160
15.0,Sun,2021-11-28,15:00,Lorient,Rennes,0.8,1.3,0–2,2021-2022,161
