Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Sat,2022-08-13,18:30,Milan,Udinese,2.3,0.5,4–2,2022-2023,0
1.0,Sat,2022-08-13,18:30,Sampdoria,Atalanta,1.0,2.2,0–2,2022-2023,1
1.0,Sat,2022-08-13,20:45,Lecce,Inter,0.7,2.1,1–2,2022-2023,2
1.0,Sat,2022-08-13,20:45,Monza,Torino,1.4,2.1,1–2,2022-2023,3
1.0,Sun,2022-08-14,18:30,Fiorentina,Cremonese,2.0,1.3,3–2,2022-2023,4
1.0,Sun,2022-08-14,18:30,Lazio,Bologna,0.7,1.5,2–1,2022-2023,5
1.0,Sun,2022-08-14,20:45,Spezia,Empoli,0.5,0.7,1–0,2022-2023,6
1.0,Sun,2022-08-14,20:45,Salernitana,Roma,0.6,2.4,0–1,2022-2023,7
1.0,Mon,2022-08-15,18:30,Hellas Verona,Napoli,1.1,2.4,2–5,2022-2023,8
1.0,Mon,2022-08-15,20:45,Juventus,Sassuolo,2.0,0.9,3–0,2022-2023,9
2.0,Sat,2022-08-20,18:30,Torino,Lazio,0.7,0.8,0–0,2022-2023,11
2.0,Sat,2022-08-20,18:30,Udinese,Salernitana,1.1,1.5,0–0,2022-2023,12
2.0,Sat,2022-08-20,20:45,Sassuolo,Lecce,0.6,0.5,1–0,2022-2023,13
2.0,Sat,2022-08-20,20:45,Inter,Spezia,2.1,0.5,3–0,2022-2023,14
2.0,Sun,2022-08-21,18:30,Napoli,Monza,2.0,0.1,4–0,2022-2023,15
2.0,Sun,2022-08-21,18:30,Empoli,Fiorentina,0.4,0.7,0–0,2022-2023,16
2.0,Sun,2022-08-21,20:45,Bologna,Hellas Verona,0.8,1.9,1–1,2022-2023,17
2.0,Sun,2022-08-21,20:45,Atalanta,Milan,0.5,1.3,1–1,2022-2023,18
2.0,Mon,2022-08-22,18:30,Roma,Cremonese,2.7,0.7,1–0,2022-2023,19
2.0,Mon,2022-08-22,20:45,Sampdoria,Juventus,0.9,0.8,0–0,2022-2023,20
3.0,Fri,2022-08-26,18:30,Monza,Udinese,1.5,1.7,1–2,2022-2023,22
3.0,Fri,2022-08-26,20:45,Lazio,Inter,1.1,1.5,3–1,2022-2023,23
3.0,Sat,2022-08-27,18:30,Juventus,Roma,0.6,1.3,1–1,2022-2023,24
3.0,Sat,2022-08-27,18:30,Cremonese,Torino,0.8,1.7,1–2,2022-2023,25
3.0,Sat,2022-08-27,20:45,Spezia,Sassuolo,1.2,2.8,2–2,2022-2023,26
3.0,Sat,2022-08-27,20:45,Milan,Bologna,1.9,0.5,2–0,2022-2023,27
3.0,Sun,2022-08-28,18:30,Salernitana,Sampdoria,1.7,1.8,4–0,2022-2023,28
3.0,Sun,2022-08-28,18:30,Hellas Verona,Atalanta,0.5,0.8,0–1,2022-2023,29
3.0,Sun,2022-08-28,20:45,Fiorentina,Napoli,0.5,1.7,0–0,2022-2023,30
3.0,Sun,2022-08-28,20:45,Lecce,Empoli,0.9,0.4,1–1,2022-2023,31
4.0,Tue,2022-08-30,18:30,Sassuolo,Milan,1.1,0.7,0–0,2022-2023,33
4.0,Tue,2022-08-30,20:45,Inter,Cremonese,2.2,1.2,3–1,2022-2023,34
4.0,Tue,2022-08-30,20:45,Roma,Monza,1.8,0.9,3–0,2022-2023,35
4.0,Wed,2022-08-31,18:30,Sampdoria,Lazio,0.8,1.5,1–1,2022-2023,36
4.0,Wed,2022-08-31,18:30,Udinese,Fiorentina,1.3,0.7,1–0,2022-2023,37
4.0,Wed,2022-08-31,18:30,Empoli,Hellas Verona,1.1,0.6,1–1,2022-2023,38
4.0,Wed,2022-08-31,20:45,Juventus,Spezia,0.9,0.2,2–0,2022-2023,39
4.0,Wed,2022-08-31,20:45,Napoli,Lecce,1.7,1.1,1–1,2022-2023,40
4.0,Thu,2022-09-01,20:45,Bologna,Salernitana,1.8,1.4,1–1,2022-2023,41
4.0,Thu,2022-09-01,20:45,Atalanta,Torino,2.9,0.4,3–1,2022-2023,42
5.0,Sat,2022-09-03,15:00,Fiorentina,Juventus,2.1,0.9,1–1,2022-2023,44
5.0,Sat,2022-09-03,18:00,Milan,Inter,1.3,1.8,3–2,2022-2023,45
5.0,Sat,2022-09-03,20:45,Lazio,Napoli,0.3,2.1,1–2,2022-2023,46
5.0,Sun,2022-09-04,12:30,Cremonese,Sassuolo,0.4,1.5,0–0,2022-2023,47
5.0,Sun,2022-09-04,15:00,Spezia,Bologna,0.9,0.9,2–2,2022-2023,48
5.0,Sun,2022-09-04,18:00,Hellas Verona,Sampdoria,2.5,0.8,2–1,2022-2023,49
5.0,Sun,2022-09-04,20:45,Udinese,Roma,1.2,0.8,4–0,2022-2023,50
5.0,Mon,2022-09-05,18:30,Salernitana,Empoli,1.3,0.9,2–2,2022-2023,51
5.0,Mon,2022-09-05,18:30,Monza,Atalanta,0.6,1.9,0–2,2022-2023,52
5.0,Mon,2022-09-05,20:45,Torino,Lecce,1.1,0.3,1–0,2022-2023,53
6.0,Sat,2022-09-10,15:00,Napoli,Spezia,2.2,0.5,1–0,2022-2023,55
6.0,Sat,2022-09-10,18:00,Inter,Torino,1.5,0.7,1–0,2022-2023,56
6.0,Sat,2022-09-10,20:45,Sampdoria,Milan,0.7,1.7,1–2,2022-2023,57
6.0,Sun,2022-09-11,12:30,Atalanta,Cremonese,0.7,0.6,1–1,2022-2023,58
6.0,Sun,2022-09-11,15:00,Bologna,Fiorentina,0.6,1.3,2–1,2022-2023,59
6.0,Sun,2022-09-11,15:00,Sassuolo,Udinese,0.5,2.1,1–3,2022-2023,60
6.0,Sun,2022-09-11,15:00,Lecce,Monza,0.9,0.1,1–1,2022-2023,61
6.0,Sun,2022-09-11,18:00,Lazio,Hellas Verona,1.1,0.3,2–0,2022-2023,62
6.0,Sun,2022-09-11,20:45,Juventus,Salernitana,1.9,1.6,2–2,2022-2023,63
6.0,Mon,2022-09-12,20:45,Empoli,Roma,1.1,3.0,1–2,2022-2023,64
7.0,Fri,2022-09-16,20:45,Salernitana,Lecce,1.2,1.5,1–2,2022-2023,66
7.0,Sat,2022-09-17,15:00,Bologna,Empoli,1.6,1.6,0–1,2022-2023,67
7.0,Sat,2022-09-17,18:00,Spezia,Sampdoria,0.7,0.9,2–1,2022-2023,68
7.0,Sat,2022-09-17,20:45,Torino,Sassuolo,0.7,0.4,0–1,2022-2023,69
7.0,Sun,2022-09-18,12:30,Udinese,Inter,1.6,1.1,3–1,2022-2023,70
7.0,Sun,2022-09-18,15:00,Monza,Juventus,2.5,0.9,1–0,2022-2023,71
7.0,Sun,2022-09-18,15:00,Cremonese,Lazio,1.3,3.1,0–4,2022-2023,72
7.0,Sun,2022-09-18,15:00,Fiorentina,Hellas Verona,2.4,0.6,2–0,2022-2023,73
7.0,Sun,2022-09-18,18:00,Roma,Atalanta,2.4,0.2,0–1,2022-2023,74
7.0,Sun,2022-09-18,20:45,Milan,Napoli,2.6,1.4,1–2,2022-2023,75
8.0,Sat,2022-10-01,15:00,Napoli,Torino,1.6,1.0,3–1,2022-2023,77
8.0,Sat,2022-10-01,18:00,Inter,Roma,1.0,1.0,1–2,2022-2023,78
8.0,Sat,2022-10-01,20:45,Empoli,Milan,1.1,2.3,1–3,2022-2023,79
8.0,Sun,2022-10-02,12:30,Lazio,Spezia,2.3,1.1,4–0,2022-2023,80
8.0,Sun,2022-10-02,15:00,Sampdoria,Monza,0.1,1.4,0–3,2022-2023,81
8.0,Sun,2022-10-02,15:00,Lecce,Cremonese,1.0,1.6,1–1,2022-2023,82
8.0,Sun,2022-10-02,15:00,Sassuolo,Salernitana,3.2,0.5,5–0,2022-2023,83
8.0,Sun,2022-10-02,18:00,Atalanta,Fiorentina,1.3,0.7,1–0,2022-2023,84
8.0,Sun,2022-10-02,20:45,Juventus,Bologna,1.8,0.4,3–0,2022-2023,85
8.0,Mon,2022-10-03,20:45,Hellas Verona,Udinese,0.3,1.8,1–2,2022-2023,86
9.0,Sat,2022-10-08,15:00,Sassuolo,Inter,1.2,2.3,1–2,2022-2023,88
9.0,Sat,2022-10-08,18:00,Milan,Juventus,2.2,0.8,2–0,2022-2023,89
9.0,Sat,2022-10-08,20:45,Bologna,Sampdoria,0.8,0.6,1–1,2022-2023,90
9.0,Sun,2022-10-09,12:30,Torino,Empoli,2.4,0.2,1–1,2022-2023,91
9.0,Sun,2022-10-09,15:00,Udinese,Atalanta,1.0,2.1,2–2,2022-2023,92
9.0,Sun,2022-10-09,15:00,Salernitana,Hellas Verona,1.1,0.9,2–1,2022-2023,93
9.0,Sun,2022-10-09,15:00,Monza,Spezia,0.7,0.5,2–0,2022-2023,94
9.0,Sun,2022-10-09,18:00,Cremonese,Napoli,0.8,4.1,1–4,2022-2023,95
9.0,Sun,2022-10-09,20:45,Roma,Lecce,3.2,0.3,2–1,2022-2023,96
9.0,Mon,2022-10-10,20:45,Fiorentina,Lazio,2.2,1.6,0–4,2022-2023,97
10.0,Sat,2022-10-15,15:00,Empoli,Monza,1.8,1.3,1–0,2022-2023,99
10.0,Sat,2022-10-15,18:00,Torino,Juventus,0.6,2.1,0–1,2022-2023,100
10.0,Sat,2022-10-15,20:45,Atalanta,Sassuolo,2.5,0.8,2–1,2022-2023,101
10.0,Sun,2022-10-16,12:30,Inter,Salernitana,1.7,0.4,2–0,2022-2023,102
10.0,Sun,2022-10-16,15:00,Spezia,Cremonese,1.5,2.1,2–2,2022-2023,103
10.0,Sun,2022-10-16,15:00,Lazio,Udinese,0.8,0.9,0–0,2022-2023,104
10.0,Sun,2022-10-16,18:00,Napoli,Bologna,2.6,1.3,3–2,2022-2023,105
10.0,Sun,2022-10-16,20:45,Hellas Verona,Milan,2.1,1.9,1–2,2022-2023,106
10.0,Mon,2022-10-17,18:30,Sampdoria,Roma,0.2,1.8,0–1,2022-2023,107
10.0,Mon,2022-10-17,20:45,Lecce,Fiorentina,1.1,0.5,1–1,2022-2023,108
11.0,Fri,2022-10-21,20:45,Juventus,Empoli,3.5,0.7,4–0,2022-2023,110
11.0,Sat,2022-10-22,15:00,Salernitana,Spezia,1.6,0.9,1–0,2022-2023,111
11.0,Sat,2022-10-22,18:00,Milan,Monza,1.1,1.2,4–1,2022-2023,112
11.0,Sat,2022-10-22,20:45,Fiorentina,Inter,1.3,2.4,3–4,2022-2023,113
11.0,Sun,2022-10-23,12:30,Udinese,Torino,2.0,1.5,1–2,2022-2023,114
11.0,Sun,2022-10-23,15:00,Bologna,Lecce,1.8,0.4,2–0,2022-2023,115
11.0,Sun,2022-10-23,18:00,Atalanta,Lazio,0.8,0.9,0–2,2022-2023,116
11.0,Sun,2022-10-23,20:45,Roma,Napoli,0.3,0.9,0–1,2022-2023,117
11.0,Mon,2022-10-24,18:30,Cremonese,Sampdoria,2.0,1.3,0–1,2022-2023,118
11.0,Mon,2022-10-24,20:45,Sassuolo,Hellas Verona,1.5,1.4,2–1,2022-2023,119
12.0,Sat,2022-10-29,15:00,Napoli,Sassuolo,2.1,1.0,4–0,2022-2023,121
