Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Harry Kane,eng ENG,FW,Bayern Munich,30,1993,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33.0,36,102,164,Bundesliga,2023-2024
Serhou Guirassy,gn GUI,FW,Stuttgart,27,1996,28,25,2208,24.5,28,3,31,24,4,4,0,0,20.8,17.6,6.6,24.2,32,56,183,Bundesliga,2023-2024
Loïs Openda,be BEL,FW,RB Leipzig,23,2000,34,33,2697,30.0,24,7,31,22,2,3,4,0,22.1,19.7,5.8,25.5,77,45,226,Bundesliga,2023-2024
Deniz Undav,de GER,"FW,MF",Stuttgart,27,1996,30,23,2089,23.2,18,10,28,18,0,1,5,0,15.0,14.3,6.5,20.8,45,120,182,Bundesliga,2023-2024
Maximilian Beier,de GER,"FW,MF",Hoffenheim,20,2002,33,29,2420,26.9,16,1,17,16,0,0,0,0,11.4,11.4,2.4,13.8,61,30,224,Bundesliga,2023-2024
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,32,1991,30,25,2199,24.4,15,6,21,10,5,5,4,0,11.1,7.1,7.3,14.5,71,119,175,Bundesliga,2023-2024
Ermedin Demirović,ba BIH,"FW,MF",Augsburg,25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,Bundesliga,2023-2024
Victor Boniface,ng NGA,FW,Leverkusen,22,2000,23,18,1546,17.2,14,8,22,10,4,4,2,0,15.4,12.3,3.7,16.0,50,34,158,Bundesliga,2023-2024
Benjamin Šeško,si SVN,FW,RB Leipzig,20,2003,31,17,1526,17.0,14,2,16,14,0,0,0,0,7.7,7.7,1.1,8.8,21,22,98,Bundesliga,2023-2024
Donyell Malen,nl NED,"FW,MF",Dortmund,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,9.5,9.5,3.0,12.5,73,57,163,Bundesliga,2023-2024
Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,24,1999,29,27,2301,25.6,12,6,18,10,2,2,7,0,11.6,10.1,4.4,14.5,88,60,165,Bundesliga,2023-2024
Tim Kleindienst,de GER,FW,Heidenheim,27,1995,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,Bundesliga,2023-2024
Marvin Ducksch,de GER,FW,Werder Bremen,29,1994,33,32,2696,30.0,12,9,21,7,5,6,9,0,12.8,7.9,7.8,15.7,17,88,150,Bundesliga,2023-2024
