Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Robert Lewandowski,pl POL,FW,Barcelona,33,1988,34,33,2847,31.6,23,7,30,23,0,1,4,1,24.3,23.5,6.3,29.8,51,100,248,La_Liga,2022-2023
Karim Benzema,fr FRA,FW,Real Madrid,34,1987,24,24,2038,22.6,19,3,22,12,7,8,1,0,21.5,14.9,5.8,20.7,72,138,157,La_Liga,2022-2023
Joselu,es ESP,FW,Espanyol,32,1990,34,33,2990,33.2,16,2,18,11,5,5,2,0,14.5,10.5,2.4,13.0,23,66,147,La_Liga,2022-2023
Borja Iglesias,es ESP,FW,Betis,29,1993,35,29,2365,26.3,15,3,18,10,5,6,2,1,14.9,10.2,2.8,13.0,20,33,147,La_Liga,2022-2023
Vedat Muriqi,xk KVX,FW,Mallorca,28,1994,35,34,2937,32.6,15,3,18,11,4,5,6,1,12.5,8.6,2.1,10.6,28,60,152,La_Liga,2022-2023
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,31,1991,38,31,2859,31.8,15,16,31,15,0,0,2,0,12.3,12.3,13.8,26.1,99,171,202,La_Liga,2022-2023
Enes Ünal,tr TUR,FW,Getafe,25,1997,35,35,2970,33.0,14,3,17,9,5,6,6,0,11.7,7.1,3.5,10.6,29,55,148,La_Liga,2022-2023
Valentín Castellanos,ar ARG,FW,Girona,23,1998,35,33,2597,28.9,13,0,13,12,1,1,11,0,11.2,10.4,1.7,12.1,30,34,128,La_Liga,2022-2023
Álvaro Morata,es ESP,FW,Atlético Madrid,29,1992,36,23,1900,21.1,13,2,15,13,0,0,4,0,11.9,11.9,2.0,13.8,33,17,102,La_Liga,2022-2023
Alexander Sørloth,no NOR,FW,Real Sociedad,26,1995,34,28,2386,26.5,12,3,15,12,0,0,4,0,12.7,12.7,4.2,16.9,41,20,132,La_Liga,2022-2023
Nicolas Jackson,sn SEN,FW,Villarreal,21,2001,26,16,1598,17.8,12,4,16,12,0,0,6,1,7.8,7.8,3.1,11.0,49,40,117,La_Liga,2022-2023
Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,31,2868,31.9,12,3,15,10,2,3,6,0,11.0,8.7,5.6,14.3,80,162,239,La_Liga,2022-2023
Gabriel Veiga,es ESP,MF,Celta Vigo,20,2002,36,28,2294,25.5,11,4,15,11,0,0,6,1,6.1,6.1,2.6,8.7,68,109,88,La_Liga,2022-2023
Iñaki Williams,gh GHA,FW,Athletic Club,28,1994,36,34,2836,31.5,10,3,13,9,1,2,2,0,10.7,9.1,4.8,13.9,127,61,341,La_Liga,2022-2023
Oihan Sancet,es ESP,MF,Athletic Club,22,2000,36,32,2532,28.1,10,2,12,8,2,2,6,1,7.6,6.0,4.2,10.2,91,159,156,La_Liga,2022-2023
Vinicius Júnior,br BRA,FW,Real Madrid,22,2000,33,32,2823,31.4,10,9,19,10,0,0,10,1,10.5,10.5,9.4,19.9,221,87,495,La_Liga,2022-2023
Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,31,29,2456,27.3,10,2,12,10,0,0,5,1,9.2,9.2,1.4,10.6,32,54,126,La_Liga,2022-2023
Rodrygo,br BRA,"FW,MF",Real Madrid,21,2001,34,25,2379,26.4,9,8,17,8,1,1,4,0,13.7,12.9,7.0,19.9,146,81,268,La_Liga,2022-2023
Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,31,15,1442,16.0,9,6,15,9,0,1,1,0,6.3,5.5,4.9,10.4,56,70,108,La_Liga,2022-2023
Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,27,1994,37,36,2965,32.9,9,5,14,8,1,3,4,0,7.7,5.3,5.2,10.5,49,127,181,La_Liga,2022-2023
Cristhian Stuani,uy URU,FW,Girona,35,1986,32,8,1090,12.1,9,0,9,4,5,6,8,0,9.7,5.0,1.3,6.2,2,10,26,La_Liga,2022-2023
Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,21,2001,35,29,2439,27.1,9,4,13,9,0,0,3,0,5.9,5.9,6.0,11.9,117,81,239,La_Liga,2022-2023
