Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,League,Season
Kylian Mbappé,fr FRA,FW,Paris S-G,23,1998,34,32,2818,31.3,29,5,34,26,3,5,6,0,26.3,22.2,7.4,29.5,165,128,468,Ligue 1,2022-2023
Alexandre Lacazette,fr FRA,FW,Lyon,31,1991,35,34,2929,32.5,27,5,32,21,6,8,3,0,24.2,17.9,5.4,23.2,40,108,227,Ligue 1,2022-2023
Jonathan David,ca CAN,FW,Lille,22,2000,37,36,3166,35.2,24,4,28,14,10,11,6,0,23.6,15.1,6.1,21.2,67,95,297,Ligue 1,2022-2023
Folarin Balogun,us USA,FW,Reims,21,2001,37,34,2999,33.3,21,2,23,15,6,7,5,0,26.6,21.0,3.8,24.8,56,55,283,Ligue 1,2022-2023
Loïs Openda,be BEL,FW,Lens,22,2000,38,29,2517,28.0,21,4,25,20,1,1,2,0,18.4,17.6,4.0,21.6,61,42,206,Ligue 1,2022-2023
Habib Diallo,sn SEN,FW,Strasbourg,27,1995,37,32,2879,32.0,20,1,21,17,3,4,4,1,17.7,14.5,3.5,18.0,40,41,203,Ligue 1,2022-2023
Elye Wahi,fr FRA,FW,Montpellier,19,2003,33,29,2513,27.9,19,5,24,18,1,1,8,1,12.2,11.4,3.6,15.0,57,25,190,Ligue 1,2022-2023
Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,32,28,2114,23.5,19,6,25,14,5,6,4,0,17.4,12.7,3.8,16.5,48,75,198,Ligue 1,2022-2023
Lionel Messi,ar ARG,"FW,MF",Paris S-G,35,1987,32,32,2837,31.5,16,16,32,16,0,0,0,0,15.5,15.5,13.4,28.9,114,300,220,Ligue 1,2022-2023
Amine Gouiri,dz ALG,"FW,MF",Rennes,22,2000,33,29,2523,28.0,15,3,18,15,0,0,4,0,11.1,11.1,4.3,15.4,63,70,205,Ligue 1,2022-2023
Alexis Sánchez,cl CHI,"FW,MF",Marseille,33,1988,35,32,2679,29.8,14,3,17,12,2,3,3,0,12.6,10.2,5.8,16.0,42,127,232,Ligue 1,2022-2023
Gaëtan Laborde,fr FRA,FW,Nice,28,1994,33,28,2506,27.8,13,3,16,13,0,1,0,0,11.8,11.0,5.8,16.9,54,53,196,Ligue 1,2022-2023
Neymar,br BRA,"MF,FW",Paris S-G,30,1992,20,18,1545,17.2,13,11,24,11,2,2,6,1,8.1,6.5,8.8,15.3,69,161,127,Ligue 1,2022-2023
