Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Bayern Munich,34,24,5,5,97,37,60,77,Bundesliga,2021-2022
Dortmund,34,22,3,9,85,52,33,69,Bundesliga,2021-2022
Leverkusen,34,19,7,8,80,47,33,64,Bundesliga,2021-2022
RB Leipzig,34,17,7,10,72,37,35,58,Bundesliga,2021-2022
Union Berlin,34,16,9,9,50,44,6,57,Bundesliga,2021-2022
Freiburg,34,15,10,9,58,46,12,55,Bundesliga,2021-2022
Köln,34,14,10,10,52,49,3,52,Bundesliga,2021-2022
Mainz 05,34,13,7,14,50,45,5,46,Bundesliga,2021-2022
Hoffenheim,34,13,7,14,58,60,-2,46,Bundesliga,2021-2022
Gladbach,34,12,9,13,54,61,-7,45,Bundesliga,2021-2022
Eint Frankfurt,34,10,12,12,45,49,-4,42,Bundesliga,2021-2022
Wolfsburg,34,12,6,16,43,54,-11,42,Bundesliga,2021-2022
Bochum,34,12,6,16,38,52,-14,42,Bundesliga,2021-2022
Augsburg,34,10,8,16,39,56,-17,38,Bundesliga,2021-2022
Stuttgart,34,7,12,15,41,59,-18,33,Bundesliga,2021-2022
Hertha BSC,34,9,6,19,37,71,-34,33,Bundesliga,2021-2022
Arminia,34,5,13,16,27,53,-26,28,Bundesliga,2021-2022
Greuther Fürth,34,3,9,22,28,82,-54,18,Bundesliga,2021-2022
