Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Barcelona,38,28,4,6,70,20,50,88,La Liga,2022-2023
Real Madrid,38,24,6,8,75,36,39,78,La Liga,2022-2023
Atlético Madrid,38,23,8,7,70,33,37,77,La Liga,2022-2023
Real Sociedad,38,21,8,9,51,35,16,71,La Liga,2022-2023
Villarreal,38,19,7,12,59,40,19,64,La Liga,2022-2023
Betis,38,17,9,12,46,41,5,60,La Liga,2022-2023
Osasuna,38,15,8,15,37,42,-5,53,La Liga,2022-2023
Athletic Club,38,14,9,15,47,43,4,51,La Liga,2022-2023
Mallorca,38,14,8,16,37,43,-6,50,La Liga,2022-2023
Girona,38,13,10,15,58,55,3,49,La Liga,2022-2023
Rayo Vallecano,38,13,10,15,45,53,-8,49,La Liga,2022-2023
Sevilla,38,13,10,15,47,54,-7,49,La Liga,2022-2023
Celta Vigo,38,11,10,17,43,53,-10,43,La Liga,2022-2023
Cádiz,38,10,12,16,30,53,-23,42,La Liga,2022-2023
Getafe,38,10,12,16,34,45,-11,42,La Liga,2022-2023
Valencia,38,11,9,18,42,45,-3,42,La Liga,2022-2023
Almería,38,11,8,19,49,65,-16,41,La Liga,2022-2023
Valladolid,38,11,7,20,33,63,-30,40,La Liga,2022-2023
Espanyol,38,8,13,17,52,69,-17,37,La Liga,2022-2023
Elche,38,5,10,23,30,67,-37,25,La Liga,2022-2023
