Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Napoli,38,28,6,4,77,28,49,90,Serie A,2022-2023
Lazio,38,22,8,8,60,30,30,74,Serie A,2022-2023
Inter,38,23,3,12,71,42,29,72,Serie A,2022-2023
Milan,38,20,10,8,64,43,21,70,Serie A,2022-2023
Atalanta,38,19,7,12,66,48,18,64,Serie A,2022-2023
Roma,38,18,9,11,50,38,12,63,Serie A,2022-2023
Juventus,38,22,6,10,56,33,23,62,Serie A,2022-2023
Fiorentina,38,15,11,12,53,43,10,56,Serie A,2022-2023
Bologna,38,14,12,12,53,49,4,54,Serie A,2022-2023
Torino,38,14,11,13,42,41,1,53,Serie A,2022-2023
Monza,38,14,10,14,48,52,-4,52,Serie A,2022-2023
Udinese,38,11,13,14,47,48,-1,46,Serie A,2022-2023
Sassuolo,38,12,9,17,47,61,-14,45,Serie A,2022-2023
Empoli,38,10,13,15,37,49,-12,43,Serie A,2022-2023
Salernitana,38,9,15,14,48,62,-14,42,Serie A,2022-2023
Lecce,38,8,12,18,33,46,-13,36,Serie A,2022-2023
Spezia,38,6,13,19,31,62,-31,31,Serie A,2022-2023
Hellas Verona,38,7,10,21,31,59,-28,31,Serie A,2022-2023
Cremonese,38,5,12,21,36,69,-33,27,Serie A,2022-2023
Sampdoria,38,3,10,25,24,71,-47,19,Serie A,2022-2023
